,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home
325,3.3119605425400738,1.219482120838471,1.5672009864364982,2.683107274969174,1.3625154130702837,0.6288532675709001,0.20468557336621454,0.9642416769420469,0.19235511713933415,0.3600493218249075,2.087546239210851,1.3970406905055488,0.6905055487053021,0.6670776818742293,3.339087546239211
451,3.1726973684210527,1.0526315789473684,1.4210526315789473,2.432565789473684,1.1776315789473684,0.7401315789473685,0.24342105263157895,0.8289473684210527,0.21875,0.37006578947368424,2.070723684210526,1.330592105263158,0.7401315789473685,0.6151315789473685,3.085526315789474
116,2.9903846153846154,0.9278846153846154,1.25,2.1634615384615383,1.0144230769230769,0.8269230769230769,0.23557692307692307,0.7548076923076923,0.22115384615384615,0.30288461538461536,2.0625,1.2692307692307692,0.7932692307692307,0.7355769230769231,2.735576923076923
175,3.183646112600536,1.1005361930294906,1.5147453083109919,2.455764075067024,1.272117962466488,0.7278820375335121,0.24262734584450402,0.9571045576407506,0.1836461126005362,0.3914209115281501,2.025469168900804,1.2855227882037534,0.739946380697051,0.6166219839142091,3.272117962466488
361,2.8870967741935485,1.053225806451613,1.314516129032258,2.2225806451612904,1.082258064516129,0.6645161290322581,0.23225806451612904,0.7741935483870968,0.19838709677419356,0.38064516129032255,2.0080645161290325,1.2032258064516128,0.8048387096774193,0.5903225806451613,2.861290322580645
262,2.946564885496183,1.0165394402035624,1.3575063613231553,2.267175572519084,1.1157760814249365,0.6793893129770993,0.24173027989821882,0.8435114503816794,0.17048346055979643,0.33078880407124683,1.8918575063613232,1.2061068702290076,0.6857506361323156,0.5966921119592875,2.9567430025445294
212,3.0888501742160277,1.0653310104529616,1.35801393728223,2.5400696864111496,1.17595818815331,0.5487804878048781,0.18205574912891986,0.7290940766550522,0.19686411149825783,0.3832752613240418,1.961672473867596,1.2273519163763067,0.7343205574912892,0.6071428571428571,2.89808362369338
226,3.160828025477707,1.0636942675159236,1.4410828025477707,2.6281847133757963,1.2627388535031847,0.5326433121019108,0.17834394904458598,0.8128980891719745,0.19347133757961785,0.37420382165605093,1.9896496815286624,1.2563694267515924,0.73328025477707,0.6377388535031847,3.0605095541401273
265,2.9504587155963304,0.8899082568807339,1.343119266055046,2.4238532110091744,1.161467889908257,0.5266055045871559,0.181651376146789,0.7669724770642202,0.1724770642201835,0.3174311926605505,1.7541284403669726,1.0990825688073393,0.655045871559633,0.5467889908256881,2.8678899082568807
290,3.175889328063241,1.115612648221344,1.4436758893280632,2.7569169960474307,1.3053359683794465,0.4189723320158103,0.1383399209486166,0.8428853754940712,0.2015810276679842,0.3577075098814229,1.966403162055336,1.2213438735177866,0.7450592885375494,0.6492094861660079,3.025691699604743
377,3.024390243902439,1.08130081300813,1.4024390243902438,2.6666666666666665,1.3008130081300813,0.35772357723577236,0.1016260162601626,0.8495934959349594,0.21138211382113822,0.32113821138211385,1.9634146341463414,1.2195121951219512,0.7439024390243902,0.6666666666666666,2.9065040650406506
406,3.2093933463796476,1.0743639921722115,1.360078277886497,2.73972602739726,1.2172211350293543,0.46966731898238745,0.14285714285714285,0.7455968688845401,0.18395303326810175,0.36203522504892366,2.003913894324853,1.2367906066536203,0.7671232876712328,0.6555772994129159,2.863013698630137
223,2.714678899082569,1.0137614678899083,1.1944954128440366,2.2715596330275227,1.0486238532110093,0.44311926605504587,0.14587155963302753,0.6339449541284403,0.18256880733944955,0.3495412844036697,1.7513761467889908,1.1055045871559632,0.6458715596330276,0.5238532110091743,2.5348623853211008
